2017-1-9 13:21:41 

Books with rating >= 8.0 and votes >= 300. 
Total number: 7969 

ID, Rating, Votes, Title
1007305, 9.5, 112402, 红楼梦 
1084336, 9.0, 210939, 小王子 
3259440, 9.1, 172336, 白夜行 
1770782, 8.8, 247129, 追风筝的人 
1008145, 8.9, 179241, 围城 
1082154, 9.1, 119538, 活着 
6082808, 9.2, 93487, 百年孤独 
1068920, 9.3, 73133, 飘（上下） 
3066477, 9.2, 74142, 三体Ⅱ 
5363767, 9.2, 73606, 三体Ⅲ 
3211779, 8.9, 118836, 嫌疑人X的献身 
1200840, 9.0, 93619, 平凡的世界（全三部） 
1061118, 9.1, 73508, 活着 
2567698, 8.8, 124616, 三体 
1041007, 9.0, 82288, 哈利　波特与魔法石 
4913064, 9.3, 48749, 活着 
10554308, 9.2, 57076, 白夜行 
25862578, 8.6, 166553, 解忧杂货店 
20427187, 8.8, 108148, 看见 
1019568, 9.2, 52510, 三国演义（全二册） 
1040211, 9.2, 46802, 福尔摩斯探案全集（上中下） 
1255625, 9.1, 53295, 天龙八部 
1071241, 8.9, 70005, 哈利　波特与阿兹卡班的囚徒 
1221515, 9.5, 26462, 灌篮高手31 
1009257, 8.9, 67917, 哈利　波特与火焰杯 
1083428, 8.8, 80103, 傲慢与偏见 
1474773, 9.5, 25222, 海贼王 
1873231, 8.8, 77364, 明朝那些事儿（壹） 
1361264, 9.0, 53245, 撒哈拉的故事 
1017143, 8.5, 129779, 不能承受的生命之轻 
1858513, 8.9, 61258, 月亮和六便士 
1204889, 9.4, 27529, 机器猫哆啦A梦23 
1060068, 9.2, 36288, 撒哈拉的故事 
1039487, 8.8, 67737, 哈利　波特与密室 
1041482, 8.9, 54579, 万历十五年 
2295163, 8.9, 53354, 哈利　波特与死亡圣器 
4820710, 9.3, 27930, 1984 
3995526, 8.7, 73403, 目送 
6710437, 9.3, 26638, 撒哈拉的故事 
1432596, 8.8, 59471, 哈利　波特与混血王子 
10594787, 8.9, 49808, 霍乱时期的爱情 
1141406, 8.5, 101469, 简爱 
1829226, 9.1, 35222, 肖申克的救赎 
4238362, 8.6, 82548, 送你一颗子弹 
1085860, 8.9, 48322, 基督山伯爵 
1002299, 8.9, 47705, 笑傲江湖（全四册） 
1046209, 9.1, 34398, 安徒生童话故事集 
1786670, 8.9, 46442, 百年孤独 
2035179, 9.2, 28010, 动物农场 
1089243, 8.8, 52275, 黄金时代 
1054685, 9.0, 36511, 沉默的大多数 
3674537, 9.1, 30647, 明朝那些事儿（1-9） 
1858576, 9.3, 22465, 一九八四 
1090043, 8.5, 82899, 倾城之恋 
1023045, 8.6, 68184, 我们仨 
1336330, 9.3, 21538, 冰与火之歌（卷一） 
1029791, 8.7, 56153, 许三观卖血记 
1949338, 8.9, 39086, 明朝那些事儿（贰） 
1007914, 8.7, 54345, 窗边的小豆豆 
1082387, 9.2, 23965, 一九八四　动物农场 
4117922, 9.0, 32526, 嫌疑人X的献身 
1827374, 9.0, 32350, 东方快车谋杀案 
1057244, 8.6, 63700, 边城 
1255624, 8.8, 43361, 神雕侠侣 
3369793, 8.7, 50068, 亲爱的安德烈 
1389960, 9.2, 22035, 七　珠 34 
